code,name,scie,lang,grup,enerc,protcnt,choavldf,fatce,fibtg,fsugar,fasat,na
E006,"Apricot, processed",Prunus armeniaca,A. Malhoi; B. Suska khubani; G. Jardaloo; H. Khoomani; Kan. Jaldaru Hannu; Kash. Tser; Mal. Sheema bedhaam pazham; M. Malhei; Mar. Jardaalu; N. Khattu; P. Kharamani; Tam. Sakkarai badhami; Tel. Seema Badam/ Jallaru Pandu; U. Khubaani.,Fruits,236,1.47,10.93,0.64,0.59,4.36,0.185,0.0016
E007,Avocado fruit,Persea  americana,B.  Kulunashpati; H. Makhanphal; Kan. Bennephala/Bennehannu; Kash. Goshtub tang; Mal. Aathachakka/ Venna-pazham; Mar. Makhan phal; P. Makhan phal; Tam. Vennaipazham.,Fruits,604,2.95,1.75,13.86,6.69,1.65,1.237,0.00281
E008,Bael fruit,Aegle marmelos,"B. Bel; E. Indian bael, Bengal quince, Golden apple, Japanese bitter orange, Stone apple, Wood apple; G. Bila; H. Bel; Kh. Soh bel; Mal. Vilwa pazham; M. Heiri Khagok; P. Bhel; Mar. Bel; Tam. Vilwa pazham; Tel. Marendu pandu.",Fruits,569,2.63,28.21,0.57,6.31,16.35,0.19,0.00156
E009,"Banana, ripe, montham",Musa x paradisiaca,A. Poka kol; B. Kola(paka); G. Paka keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait syiem; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella;   S. Kadalii; Tam. Vazha pazham; Tel. Arati pandu; U. Kela.,Fruits,463,1.25,24.95,0.32,2.21,14.9,0.11,0.00125
E010,"Banana, ripe, poovam",Musa x paradisiaca,A. Poka kol; B. Kola (paka); G. Paka keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait mon/ ja; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella; S. Kadalii; Tam. Vazha pazham; Tel. Arati pandu; U. Kela.,Fruits,445,1.49,23.41,0.35,2.33,12.54,0.113,0.001
E011,"Banana, ripe, red",Musa paradisiaca,A. Poka kol; B. Kola (paka); G. Lal paka keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait saw; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella; S. Kadalii; Tam. Sevvazhaipazham; Tel. Arati pandu; U. Kela.,Fruits,467,1.29,25.21,0.29,1.98,14.57,0.106,0.00111
E012,"Banana, ripe, robusta",Musa x paradisiaca,A. Poka kol; B. Kola (paka); G. keda; H. Kela; Kan. Bale hannu; Kash. Kela; Kh. Kait jaji; Mal. Vazha pazham; M. Laphoi; Mar. Kele; N. Kera; O. Champa kadali; P. Kella; S. Kadalii; Tam. Vazhaipazham; Tel. Arati pandu; U. Kela.,Fruits,440,1.23,23.63,0.33,1.94,13.65,0.114,0.00085
E013,Black berry,Rubus sp.,A. Kola jamu; B. Kalojam; E. Blackberry; G. Jambu; H. Kala Jamun; Kan. Neralai; Kh. Soh jam/ Soh jamun; Mal. Naval pazham; M. Jaam; Mar. Jambhool; O. Jamukoli; P. Jamun; Tam. Nagapazham; Tel. Neredupandu.,Fruits,227,0.92,10.64,0.63,4.35,7.61,0.195,0.00121
E014,"Cherries, red",Prunus avium,G. Cherry; H. Gilas; Kan. Kadugempu; Kash. Gilas; Kh. Soh sherri; Mal. Cherrypazham; Mar. Cherry phal; P. Cherry; Tam. Cherry pazham; Tel. Cherri pandu.,Fruits,250,1.49,11.87,0.46,2.12,10.72,0.125,0.00164
E015,"Currants, black",Ribes nigrum,"A. kismis; E. Zante currants, Corinth raisins, Corinthian raisins; G. kadi draksh; H. Munakka; Kan. Nerale hannu; Kh. Soh kismis iong; Mal. Najavalppazham; Mar. Kala pravaha; Tam. Karunthiratcha; Tel. Nalla Kishmish; U. kala kishmish.",Fruits,227,1.51,9.93,0.53,4.07,6.33,0.08333,0.00145
E016,Custard apple,Annona squamosa,"A. Sitaphal; B. Ata; E. Sugar apple, Sweetsop; G. Sitapad; H. Sharifa; Kan. Sharifa; O. Ata; Mal., Mar. Sitaphal; P. Sharifa; Tam. Seethapazham; Tel. Sitaphalam.",Fruits,414,1.62,20.38,0.67,5.1,13.35,0.138,0.00311
E017,"Dates, dry, pale brown",Phoenix dactylifera,A. Khajur; B. Kharjura; E. Date palm; G. Kharek; H. Chuhara; Kan. Kharjoora; Kash. Khajur; Kh. Soh khajur; Mal. Eethapazham; M. Thangtup; Mar. Khajur; N. Khajura; O. Khajuri; P. Chawara; S. Kharjura; Tam. Pericham pazham; Tel. Khajoora pandu; U. Khajur.,Fruits,1340,2.45,74.91,0.35,8.95,66.63,0.09703,0.00327
E018,"Dates, dry, dark brown",Phoenix dactylifera,A. Khajur; B. Kharjura; E. Date palm; G. Chuhara; H. Khajur; Kan. Kharjoora; Kash. Khajur; Kh. Soh khajur; Mal. Eethapazham; M. Thangtup; Mar. Khajur; N. Khajura; O. Khajuri; P. Chawara; S. Kharjura;   Tam. Pericham pazham; Tel. Khajoora pandu; U. Khajur.,Fruits,1301,2.38,72.67,0.35,9.1,68.84,0.114,0.00309
E019,"Dates, processed",Phoenix dactylifera,A. Khajur; B. Kharjura; E. Date palm; G. Khajur; H. Khajur; Kan. Kharjoora; Kash. Khajur; Kh. Soh khajur im; Mal. Eethapazham; M. Thangtup; Mar. Khajur; N. Khajura; O. Khajuri; P. Khajur; S. Kharjura ; Tam. Pericham pazham; Tel. Khajoora pandu; U. Khajur.,Fruits,1197,1.18,67.95,0.41,6.52,56.96,0.149,0.0016
E020,Fig,Ficus Carica,A. Dimoru; B. Dumura; E. Common fig; G. Anjir; H. Anjeer; Kan. Anjurada hannugalu; Kash. Anjeer; Kh. Soh Dimbur; Mal. Athipazham; M. Heirit; Mar. Anjir; N. Anjir; O. Dimiri; S. Anjiira; P. Anjeer; Tam. Athipazham; Tel. Atti pandu; U. Anjeer.,Fruits,341,2.03,16.28,0.37,4.64,8.64,0.08944,0.00237
E021,Goosberry,Emblica officinalis,A. Amlakhi; E. Indian Gooseberry; G. Amla; H. Amla; Kan. Betta nelli; Kh. Soh mylleng; Mal. Nellikka; M. Heikru; Mar. Amla; O. Aanla; P. Olle; Tam. Nellikkai; Tel. Usirikaya.,Fruits,99,0.34,4.39,0.16,7.75,3.39,0.03848,0.00137
E022,"Grapes, seeded, round, black",Vitis vinifera,A. Angoor; B. Angoor; G. Kadi Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape iong; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Panneer dratchai; Tel. Draksha padu.,Fruits,254,0.76,13.23,0.32,1.35,10.02,0.106,0.00193
E023,"Grapes, seeded, round, green",Vitis vinifera,A. Angoor; B. Angoor; G. Lili Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape jyrngam; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.,Fruits,235,0.77,12.19,0.29,1.25,9.59,0.09242,0.00189
E024,"Grapes, seeded, round, red",Vitis vinifera,A. Angoor; B. Angoor; G. Lal Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape saw; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.,Fruits,244,0.95,12.55,0.29,1.28,10.47,0.09204,0.00159
E025,"Grapes, seedless, oval, black",Vitis vinifera,A. Angoor; B. Angoor; G. Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape iong; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.,Fruits,395,1.41,20.48,0.46,1.64,9.19,0.04563,0.00183
E026,"Grapes, seedless, round, green",Vitis vinifera,A. Angoor; B. Angoor; G. Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape jyrngam; Mal. Mundiringa; M. Angoor; Mar. Draksha ; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.,Fruits,224,0.62,11.81,0.26,1.28,9.6,0.08711,0.00181
E027,"Grapes, seedless, round, black",Vitis vinifera,G. Kadi Draksha; H. Angoor; Kan. Draksha; Kash. Dach; Kh. Soh grape iong; Mal. Mundiringa; M. Angoor; Mar. Draksha; N. Angoor; O. Angoor; P. Angoor; S. Draakssaa; Tam. Dratchai; Tel. Draksha padu.,Fruits,374,1.24,19.86,0.35,1.15,10.88,0.129,0.00192
E028,"Guava, white flesh",Psidium guajava,A. Madhurium; B. Peyara; G. Jamphad; H. Amrud; Kan. Seebe; Kash. Amrodh; Kh. Soh pyriam; Mal. Perakka (nattu); M. Pungton; Mar. Peru; N. Aamba; O. Pijuli (deshi); P. Amrud; S. Peruka; Tam. Koiyapazham; Tel. Jama pandu; U. Amrood.,Fruits,135,1.44,5.13,0.32,8.59,4.1,0.0493,0.00287
E029,"Guava, pink flesh",Psidium guajava,H. Amrud; Tel. Jama pandu; Tam. Koiyapazham; Kan. Seebe; Mal. Perakka; Mar. Peru; O. Pijuli; B. Peyara; G. Lal jamphad; P. Amrud; A. Madhurium; Kash. Amrodh; S. Peruka; N. Aamba; M. Bilaiti pungton; Kh. Soh pyriam.,Fruits,195,1.19,9.14,0.25,7.39,7.79,0.02718,0.00189
E030,"Jack fruit, ripe",Artocarpus heterophyllus,"A. Kothal; B. Kanthal; E. Jakfruit, Jak; G. Phanas; H. Kathal; Kan. Halasu; Kh. Soh phan; Mal. Chakka; M. Theibong; Mar. Phanas; N. Katahar; O. Panasa; P. Kathal; Kash. Bindu; S. Panasa; Tam. Palapazham; Tel. Panasa; U. Kathahal.",Fruits,302,2.74,14.01,0.15,3.62,12.21,0.03766,0.00162
E031,"Jambu fruit, ripe",Syzygium samarangense,"A. Jamu; B. Jaamrool; E. Java apple, Semarang rose apple, Wax jambu; H. Jamun; Kan. Neralai; Mal. Naval pazham; Mar. Jambhool; O. Jamukoli; P. Jamun; Tam. Nagapazham; Tel. Neredupandu.",Fruits,235,0.82,12.3,0.17,3.07,6.84,0.06649,0.00264
E032,Karonda fruit,Carissa carandas,"A. Korja tenga; B. Koromcha; G. Karamda; H. Balalak, dindimi; Kan. Karekayi; Mar. Karvand; Mal. Karakka; O. Sushena; P. Karonda; S. Karamazda; Tam. Kalakkay/ Parungala; Tel. Kalive.",Fruits,141,1.15,2.87,1.67,7.25,1.75,0.06681,0.00255
E033,"Lemon, juice",Citrus limon,H. Nimbhu; Tel. Nimapandu ; O. Kagaji limbu; B. Pati Lebu; G. Limbu; P. Nibu; U. Neembu; A. Nemu; Kash. Nyomb; S. Lehin; N. Kaagati; M. Champra Mahi; Kh. Soh jew.,Fruits,153,0.41,0,0.75,0,2.59,0.202,0.00121
E034,"Lime, sweet, pulp",Citrus limetta,H. Mosambi; Tel. Gaja nimma pandu; Tam. Kolinchi pazham; Kan. Gaja nimbe; Mar. Limbu goda; B. Mitha lebu; G. Mosambi; A. Mosumi; Kash. Mosambi; P. Mosami; Kh. Soh balensha.,Fruits,114,0.76,5.18,0.2,2.07,3.42,0.0764,0.00117
E035,Litchi,Litchi chinensis,A. Lichu; B. Lichu; E. Lychee; G. Lichi; H. Lichi; Kash. Lichi; Kh. Soh manir; Mal. Lichi; M. Lichu; Mar. Lichi; N. Lichi; O. Letchu; P. Lichi; Tam. Lichi; Tel. Lichi; Kan. Lichi; U. Lichi.,Fruits,225,0.99,11.41,0.26,1.34,9.3,0.09148,0.00054
E036,"Mango, ripe, banganapalli",Mangifera indica,A. Aam; B. Aam(paka); G. Keri; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.,Fruits,175,0.54,8.18,0.55,1.88,7.77,0.17,0.00134
E037,"Mango, ripe, gulabkhas",Mangifera indica,A. Aam; B. Aam (paka); G. Pakeli Kedi; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.,Fruits,209,0.52,10.32,0.53,1.67,8.13,0.18,0.00139
E038,"Mango, ripe, himsagar",Mangifera indica,A. Aam; B. Aam (paka); G. Keri; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.,Fruits,187,0.46,9.03,0.54,1.55,8.06,0.174,0.00131
E039,"Mango, ripe, kesar",Mangifera indica,A. Aam; B. Aam (paka); G. Kesar kedi; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.,Fruits,231,0.54,11.36,0.57,2.02,9,0.172,0.00143
E040,"Mango, ripe, neelam",Mangifera indica,A. Aam; B. Aam (paka); G. Nilam kedi; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam  pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.,Fruits,178,0.68,8.21,0.55,1.77,7.94,0.178,0.0012
E041,"Mango, ripe, paheri",Mangifera indica,A. Aam; B. Aam (paka); G. Keri; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); S. Aamra; Tam. Mampazham; Tel. Mamidi pandu; U. Pakka aam.,Fruits,188,0.68,8.67,0.58,1.97,8.48,0.186,0.00163
E042,"Mango, ripe, totapari",Mangifera indica,A. Aam; B. Aam (paka); G. Totapuri kedi; H. Aam (paka); Kan. Mvina hannu; Kash. Aamb; Kh. Soh pieng; Mal. Mam pazham; M. Heinou Amunba; Mar. Amba (piklela); N. Ampa; O. Amba (pachila); P. Aam; S. Aamra; Tel. Mamidi pandu; Tam. Mampazham; U. Pakka aam.,Fruits,248,0.41,12.75,0.49,1.73,9.24,0.175,0.00132
E043,Mangosteen,Garcinia mangostana,E. Purple mangosteen; H. Mangustan; Mal. Kodam puli; Tam. Sulambali.,Fruits,219,0.63,11.41,0.24,1.87,8.91,0.176,0.00379
E044,Manila tamarind,Pithecellobium dulce,B. Jilapi; G. Bakhai ambli/Vilayabi ambli; H. Ganga imli/ Jangal jalebi; Kan. Seema/ dora hunase; Kh. Soh kyntoi im; M. Mange; Mar. Vilayatichinch; P. Jangjalebi; Tam. Kodukkapuli; Tel. Seema chintakaya.,Fruits,342,3.56,13.54,1.14,4.4,12.13,0.02781,0.00135
E045,"Musk melon, orange flesh",Cucumis melon,A. Siral; B. Kharamuja; E. Muskmelon; G. Kharbujo; H. Kharbooja; Kan. Kharbooja; Kash. Kherbuz; Mal. Mulam pazham; Mar. Kharbooja; O. Kharbooja; P. Kharbooja; S. Kharbuuja; Tam. Mulam pazham; Tel. Kharbooja; U. Kharbuz.,Fruits,97,0.42,4.24,0.35,1.51,2.99,0.09294,0.01494
E046,"Musk melon, yellow flesh",Cucumis melo,A. Siral; B. Kharamuja; E. Muskmelon; G. Kharbujo (Pido); H. Kharbooja; Kan. Kharbooja; Kash. Kherbuz; Mal. Mulam pazham; Mar. Kharbooja; O. Kharbooja; P. Kharbooja; S. Kharbuuja; Tam. Mulam pazham; Tel. Kharbooja; U. Kharbuz.,Fruits,116,0.53,5.4,0.26,1.49,2.36,0.079,0.01578
E047,"Orange, pulp",Citrus aurantium,A. Komola; B. Kamala lebu; G. Santra; H. Santra; Kan. Kithilai; Kash. Sangtar; Kh. Soh niamtra; Mal. Madhura naranga; M. Komla; Mar. Santre; N. Suntala; O. Kamala; P. Santra; S. Naarangga; Tam. Saathukudi; Tel. Kamala padu; U. Santra.,Fruits,156,0.7,7.92,0.13,1.29,6.86,0.03711,0.00147
E048,"Palm fruit, tender",Borassus flabellifer,"E. Doub palm, Palmyra palm, Tala palm, Toddy palm, Wine palm, Ice apple; H. Tar; Kan. Thati mangu; Mal. Pnamnungu; O. Tala Saja; Tam. Panai nungu; Tel. Thati munjalu.",Fruits,101,0.5,4.92,0.12,2.4,0.19,0.03336,0.00125
E049,"Papaya, ripe",Carcia papaya,"A. Amita; B. Pepe (paka); E. Papaw, Pawpaw; G. Papayu; H. Papita; Kan. Pappayi Hannu; Kash. Papita; Kh. Soh Kymphor; Kon. Papayi; Mal. Omakai; M. Awathabi amunba; Mar. Popai; N. Mewa; O. Amrutbhanda (Pachila); P. Papita; Tam. Pappali; Tel. Boppayi pandu; U. Papita.",Fruits,100,0.42,4.61,0.16,2.83,4.09,0.05608,0.00668
E050,Peach,Prunus communis,A. Ahom bogori; E. Nectarine; H. Aroo; Kash. Aer; Kh. Soh phareng; M. Chumbrei; P. Aroo.,Fruits,168,0.86,7.82,0.37,2.13,6.95,0.0239,0.00115
E051,Pear,Pyrus sp.,A. Naspoti; B. Nashpati; G. Nashpatino; H. Nashpati; Kan. Berikai; Kash. Tang; Kh. Soh phoh; Mal. Sabarjil; M. Naspati; Mar. Nashpati; N. Naspati; O. Nashpati; P. Nashpati; Tam. Berikkai; Tel. Berikaya; U. Nashpati.,Fruits,157,0.36,8.09,0.27,4.48,7.39,0.07594,0.00164
E052,Phalsa,Grewia asiatica,A. Pharaskol; B. Falsa; G. Falsa; H. Falsa; Kan. Phalsa hannu; Kh. Soh broi rit; Mal. Palisa; Mar. Falsa; O. Mirgichara; P. Falsa; Tam. Palisa; Tel. Falsa pandu; U. Falsa.,Fruits,299,1.66,15.09,0.14,4.54,13,0.164,0.00199
E053,Pineapple,Ananas comosus,A. Ahnaros; B. Anarasa; G. Anenas; H. Ananas; Kan. Ananas; Kash. Punchitipul; Kh. Soh trun; Kon. Anas; Mal. Kayirha chakka; M. Kihom Ananas; O. Sapuri; P. Ananas; Tam. Annasi pazham; Tel. Anasa pandu; U. Ananas.,Fruits,180,0.52,9.42,0.16,3.46,8.56,0.05109,0.00143
E054,Plum,Prunus domestica,B. Alubokhara; H. Alubokhara; G. Aaddu; Kan. Onagida draakshi; Kash. Aeir; Kh. Soh plum dorris/ Norris; M. Heikha; P. Aloobhukhara; Tel. Alapagoda.,Fruits,238,0.64,12.1,0.4,2.07,10.13,0.02005,0.00155
E055,"Pomegranate, maroon seeds",Punica granatum,A. dalim; B. Bedana; G. Dadam; H. Anar; Kan. Dalimbari; Kash. Daan; Kh. Soh pomegranate; Kon. Dalimb; Mal. Mathalam pazhham; M. Kamphoi; Mar. Dalimb; O. Dalimba; P. Anar; S. Daaddima; Tam. Madhulam pazham; Tel. Danimma pandu; U. Anaar.,Fruits,229,1.33,11.58,0.15,2.83,10.87,0.0425,0.00213
E056,Pummelo,Citrus maxima,A. Rabab tenga; B. Batabilembu; E. Pomelo; G. Papnuse; H. Chakotra; Kan. Chakkota; Kh. Soh bah; Mal. Bombilimas; M. Nobab; Mar. Papnus; O. Batapilembu; Tam. Bombilimas; Tel. Pampara panasa.,Fruits,210,0.68,10.64,0.42,0.8,4.38,0.115,0.00106
E057,"Raisins, dried, black",Vitis vinifera,A. kishmish; B. kishmish; E. Dried grape; G. Kadi Draksha; H. Kishmish; Kan. Drashi; Kash. kishmish; Kh. Kismis iong; Mal. Mundiringa (unakku); M. Kismis; Mar. kishmish; O. kishmish; P. Songi; Tam. Ular dhirachai; Tel. Endu draksha; U. kishmish.,Fruits,1279,2.57,71.29,0.34,3.92,61.51,0.06247,0.01099
E058,"Raisins, dried, golden",Vitis vinifera,A. Kishmish; B. Kishmish; E. Dried grape; G. Pidi Draksha; H. Kishmish; Kan. Drashi; Kash. Kishmish; Kh. Kismis saw; Kon. Suke dhrakshi; Mal. Mundiringa (unakku); M. Kismis; Mar. kishmish; N. Kismis; O. Kishmish ; P. Songi; Tam. Ular dhirachai; Tel. Endu draksha; U. Kishmish.,Fruits,1241,2.76,68.79,0.35,4.56,57.12,0.121,0.01016
E059,Rambutan,Nephelium lappaceum,H. Rambutan.,Fruits,306,0.68,16.84,0.16,1.02,15.8,0.144,0.00175
E060,Sapota,Achras sapota,A. Chiku; E. Sapodilla; H. Chiku; Kan. Sapota; Mal. Sapota; Mar. Chiku; O. Sapota; P. Chiku; Tel. Sapota; U. Sapota.,Fruits,307,0.92,13.9,1.26,9.6,12.3,0.389,0.00461
E061,Soursop,Annona muricata,H. Shul-ram fal; Kan. Lakshmanaphala/Mulluramphala; Mal. Mullatha; Tam. Malai seethapalam/ Paanghi pazham; Tel. Lakshamana phalamu.,Fruits,260,0.74,11.94,0.94,4.95,9.83,0.135,0.00678
