code,name,scie,lang,grup,enerc,protcnt,choavldf,fatce,fibtg,fsugar,fasat,na
E062,Star fruit,Averrhoa carambola,"A. Kordoi; E. Carambola, Starfruit; G. Amrakh; H. Kazmal/Kamrakh; Kan. Kamaraka/ Kapazakshi hannu; Kh. Soh pyrshong; Mal. Caturappuli; M. Heinoujom; Mar. Karambal; O. Karamanga; Tam. Tamarattai; U. Kamrakh.",Fruits,110,0.79,4.51,0.39,2.81,3.95,0.02077,0.00156
E063,Strawberry,Fragaria ananassa,G. strawberry; Kan. Nela milli hannu; Kh. Strawberry/ soh stap; Mal. Stroberry; P. Lachi; Kash. Istaber; Tam. Strawberry.,Fruits,103,0.97,3.4,0.56,2.5,3.56,0.06621,0.00119
E064,"Tamarind, pulp",Tamarindus indicus,A. Teteli; B. Tetul; G. Amli; H. Imli; Kan. Hunise hannu; Kash. Tambari; Kh. Soh kyntoi; Mal. Puli; M. Mange; Mar. Chinch; N. Imali; O. Tentuli; P. Imli; S. Sucukrika; Tam. Puli; Tel. Chintha pandu; U. Imli.,Fruits,1207,2.92,67.35,0.15,5.31,52.88,0.02726,0.02492
E065,"Water melon, dark green (sugar baby)",Citrullus vulgaris,A. Tormuj; B. Tarmuj; E. Watermelon; G. Tadbuj; H. Tarbuj; Kan. Kallangadi; Kash. Hend wend; Kh. Soh watermelon; Kon. Bacchanga; Mal. Thannir mathan; M. Tarbuj; Mar. Kalingad; N. Kharbuja; O. Tarvuja; P. Dawana; Tam. Darbusani; Tel. Puchakaya; U. Tarbuja.,Fruits,85,0.6,3.86,0.16,0.7,3.66,0.0397,0.00189
E066,"Water melon, pale green",Citrullus vulgaris,A. Tormuj; B. Tarmuj; E. Watermelon; G. Tadbuj; H. Tarbuj; Kan. Kallangadi; Kash. Hend wend; Kh. Soh watermelon; Kon. Bacchanga; Mal. Thannir mathan; M. Tarbuj; Mar. Kalingad; N. Kharbuja; O. Tarvuja; P. Dawana; Tam. Darbusani; Tel. Puchakaya; U. Tarbuja.,Fruits,70,0.59,3.02,0.16,0.78,3,0.05033,0.00162
E067,Wood apple,Limonia acidissima,A. Bel; B. Koyeth Bael; E. Elephant apple; G. Kothu; H. Kaith; Kan. Bele; Kash. Bum choont; Mal. Vilam pazham; Mar. Kavath; O. Kaitha; P. Chaktora; S. Bilvaon (Gorakamli); Tam. Vilam pazham; Tel. Velega pandu; U. Beal.,Fruits,327,3.14,7.52,3.62,5.21,3.81,0.877,0.00148
E068,Zizyphus,Zizyphus jujuba,"A. Bogori; B. Kula; E. Jujube, Ziziphus; G. Ber; H. Ber; Kan. Yelachi; Kash. Brey; Kh. Soh broi heh; Kon. Bor; Mal. Elanth pazham; M. Boroi; Mar. Bor; O. Barakoli; P. Beri; S. Badarii; Tam. Elanthai pazham; Tel. Regu pandu; U. Ber.",Fruits,204,1.34,9.4,0.35,3.73,8.29,0.119,0.00152
F001,Beetroot,Beta vulgaris,"A. Beet; B. Beet; E. Beet root, Beet, Table beet, Garden beet, Red beet, Golden beet; G. Beet; H. Chukandar; Kan. Beet; Kh. U bit; Kash. Chogander munji; Mal. Beet root; Mar. Beet root; O. Bita; P. Chukandar; S. Paalangashaakah; Tam. Beet root; Tel. Beet root; U. Chokhandar.",Roots and Tubers,149,1.95,6.18,0.14,3.31,4.35,0.03117,0.06944
F002,"Carrot, orange",Dacus carota,A. Gajor; B. Gajar; G. Gajar; H. Gajar; Kan. Gajjare; Kash. Ghahzir; Kh. U kajor; Mal. Carrot; M. Gajar; Mar. Gajar; N. Gajar; O. Gajara; P. Gajar; S. Grunjanam; Tam. Carrot; Tel. Gajjara gadda; U. Gajar.,Roots and Tubers,139,0.95,5.55,0.47,4.18,3.23,0.08771,0.05233
F003,"Carrot, red",Dacus carota,A. Gajor; B. Gajar; G. Gajar; H. Gajar; Kan. Gajjare; Kash. Ghahzir; Kh. Kajor; Mal. Carrot; M. Gajar; Mar. Gajar; N. Gajar; O. Gajara; P. Gajar; S. Grunjanam; Tam. Carrot; Tel. Gajjara gadda; U. Gajar.,Roots and Tubers,160,1.04,6.71,0.47,4.49,3.96,0.08891,0.06069
F004,Colocasia,Colocasia antiquorum,A. Kosu; B. Kochu; E. Taro; G. Advi; H. Arwi; Kan. Samagadde; Kash. faram; Kh. Ka shriew; Mal. Chembu; M. Paan; Mar. Alu kanda; O. Saru; P. Arwi; Tam. Seppankizhangu; Tel. Chama dumpa; U. Arwi.,Roots and Tubers,372,3.31,17.85,0.17,3.22,0.9,0.04184,0.00454
F005,Lotus root,Nelumbium nelumbo,"A. podum thari; G. Kamad kakdi; H. Kamal gatta, Kamal kakdi; Kan. Tavare dantu; Kash. Nader; Kh. Thied lotus; Mal. Thamara thandu; M. Thambou; Mar. Kamalkaakdi; O. Padma nad; P. Kamal zahr; Tam. Thamaraithandu; Tel. Thamara kada; U. Kanwal kakri.",Roots and Tubers,332,1.94,14.67,0.93,4.7,0.24,0.249,0.02063
F006,"Potato, brown skin, big",Solanum tuberosum,A. Simolu aloo; B. Gal alu; G. Bateka; H. Alu; Kan. Alugadda; Kash. Oalu; Kh. U phan; Kon. Alu; N. Alu; Mal. Urula kizhangu; M. Aloo; Mar. Batata; O. Alu; P. Alu; S. Aalukah; Tam. Urulai kizhangu; Tel. Bangala dumpa; U. Alu.,Roots and Tubers,292,1.54,14.89,0.23,1.71,0.32,0.04356,0.00411
F007,"Potato, brown skin, small",Solanum tuberosum,"A. Simolu aloo; B. Gal alu; G. Bateka; H. Alu; Kan. Alugadda; Kash. Oalu; Kh. Phan rit; Kon. Alu; M. Aloo; Mar. Batata; N., O., P., U. Alu; S. Aalukah; Tam. Urulaikizhangu; Tel. Bangala dumpa.",Roots and Tubers,255,1.35,12.9,0.22,1.69,0.44,0.04403,0.00397
F008,"Potato, red skin",Solanum tuberosum,A. Aloo; B. Gal alu; G. Bateka; H. Alu; Kan. Alugadda; Kash. Oalu; Kh. Phan saw; Kon. Alu; Mal. Urula kizhangu; Mar. Batata; N. Alu; O. Alu; P. Alu; S. Aalukah; M. Aloo; Tam. Urulaikizhangu; Tel. Bangala dumpa; U. Alu.,Roots and Tubers,306,1.83,15.43,0.22,1.68,0.38,0.03987,0.00436
F009,"Radish, elongate, red skin",Raphanus sativus,A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli saw; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.,Roots and Tubers,134,0.67,6.71,0.13,2.46,1.15,0.04265,0.02473
F010,"Radish, elongate, white skin",Raphanus sativus,A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli lieh; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.,Roots and Tubers,135,0.77,6.56,0.15,2.65,0.95,0.04388,0.0282
F011,"Radish, round, red skin",Raphanus sativus,A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli pyllon; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.,Roots and Tubers,130,0.89,6.07,0.16,2.29,0.86,0.04608,0.03227
F012,"Radish, round, white skin",Raphanus sativus,A. Mula; B. Mula; G. Muda; H. Muli; Kan. Mullangi; Kh. Muli pyllon; Mal. Mullangi; Mar. Mula; N. Mula; O. Mula; P. Gonglu; S. Moolikaa; Tam. Mullangi; Tel. Mullangi; U. Mooli.,Roots and Tubers,129,0.8,6.13,0.14,2.37,1.16,0.04115,0.02414
F013,"Sweet potato, brown skin",Ipomoea batatas,A. Meetha aloo; B. Ranga alu; G. Sakkaria; H. Shakarkand; Kan. Genasu; Kh. Phankaro iong; Mal. Sakkarvalli kazhangu; M. Manghra; Mar. Ratalu; N. Sakhar Khand; O. Kandamula; P. Sakkargandi; Tam. Sakkarvalli kizhangu; Tel. Chilagada dumpa; U. Ratalu.,Roots and Tubers,456,1.33,24.25,0.26,3.99,3.63,0.0661,0.0296
F014,"Sweet potato, pink skin",Ipomoea batatas,A. Meetha aloo; B. Ranga alu; G. Sakkaria; H. Shakarkand; Kan. Genasu; Kh. Phankaro saw; Mal. Sakkarvalli kazhangu; M. Manghra; Mar. Ratalu; N. Sakhar Khand; O. Kandamula; P. Sakkargandi; Tam. Sakkarvalli kizhangu; Tel. Chilagada dumpa; U. Ratalu.,Roots and Tubers,452,1.27,23.93,0.33,3.94,4.03,0.101,0.02904
F015,Tapioca,Manihot esculenta,A. Sagi; B. Simla alu; G. Aararoot; H. Simla alu; Kan. Mra genasu; Kh. Phan dieng; Mal. Mrachini; M. U Manghra; Mar. Simla  Batata; N. Tarul; O. Kathakonda; P. Simla alu; Tam. Maravalli kizhangu; Tel. Krrapendalamu; U. Kasawa soji.,Roots and Tubers,334,1.03,17.81,0.2,4.61,2.14,0.0595,0.01086
F016,Water Chestnut,Eleocharis dulcis,"A.Pani singora; B. Pani phal; G. Shingoda; H., Mar. Shingara; Kash. Goer; Mal. Karimpolam; M. Kaothum; O. Pani singhara; P. Shingada; Tam. Singhara; Tel. Kubyakam.",Roots and Tubers,400,0.86,21.46,0.37,3.02,1.95,0.08742,0.01308
F017,"Yam, elephant",Amorphophallus paeoniifolius,"A. Ol kachu; B. Ol; E. Elephant foot yam, Whitespot giant arum; G. Suran; H. Zimikandha; Kan. Suvarna gadda; Kh. Shriew hati; Mal. Chena; M. Haa; Mar. Suran; O. Suran; P. Zimikand; Tam. Karunai kizhangu; Tel. Kandha dumpa.",Roots and Tubers,353,2.56,17.46,0.14,4.17,1.58,0.03572,0.01433
F018,"Yam, ordinary",Dioscorea strydomiana,"A. Kath aloo; B. Gherkochoo; E. White yam, Winged yam, Water yam, Purple yam; G. Ratadu; H. Sooran; Kan. Suvarna gadda; Kh. Shriew jrong; Mal. Chena; M. Haa; Mar. Goradu; N. Pidaloo; O. Khamba alu; S. Aalu; Tam. Karunai kizhangu; Tel. Durdakandagadda.",Roots and Tubers,349,2.18,17.65,0.17,4.08,1.15,0.04263,0.01528
F019,"Yam, wild",Dioscorea villosa,A. Jongoli kosu; B. Ranga alu; G. Ratadu; H. Suaralu; Kan. Hegganasu; Kh. Shriew lieh; Mal. Kattuchena; M. Haa; Mar. Suran; Tam. Kodi kizhangu; Tel. Chedu paddu dumpa.,Roots and Tubers,430,3.07,20.95,0.3,4.57,1.54,0.07951,0.0128
G001,"Chillies, green-1",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Sohmynken heh; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,191,2.62,6.32,0.73,4.86,0.71,0.126,0.00332
G002,"Chillies, green-2",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,167,2.28,5.27,0.75,5.13,1.05,0.131,0.00247
G003,"Chillies, green-3",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,169,2.38,5.23,0.75,5.1,0.54,0.133,0.00256
G004,"Chillies, green-4",Capsicum annum,A. Kesa jalakia; E. Chili pepper; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,190,2.33,6.63,0.74,4.15,0.62,0.148,0.00194
G005,"Chillies, green-5",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Vadhvani marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,180,2.01,6.64,0.65,3.95,0.46,0.109,0.00219
G006,"Chillies, green-6",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Lila marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,175,3.01,5.31,0.64,5.15,0.59,0.121,0.00243
G007,"Chillies, green-7",Capsicum annum,A. Kesa jalakia; E. Chili pepper; G. Gola marcha; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken beb; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,163,2.12,5.61,0.6,4.95,0.73,0.102,0.002
G008,"Chillies, green - all varieties",Capsicum annum,A. Kesa jalakia; E. Chili pepper; H. Hara Mirchi; Kan. Hasi Menasinakayi; Kash. Marach wangun; Kh. Soh mynken dkhar; Mal. Mulaku; M. Morok; Mar. Mulaku; N. Hariyo khursani; O. Kancha Lanka; P. Hara mirchi; S. Marichika; Tam. Pachhai milagai; Tel. Pacchi Mirapakaya; U. Hara mirchi.,Condiments and Spices,177,2.36,5.86,0.72,4.77,0.67,0.129,0.0025
G009,Coriander leaves,Coriandrum sativum,"A. Dhania paat; B. Dhone pata; E. Cilantro, Chinese parsley; G. Dhana pandada; H. Hara dhania; Kan. Kothambari; Kash. Daaniwal; Kh. Dhonia dkhar; Mal. Kothamalli; M. Fadhighom Mana; Mar. Kothimbir; N. Hario Dhaniya; O. Dhania Patra; P. Hara dhaniya patta; Tam. Kothamalli; Tel. Kothimiri; U. Hara dhaniya.",Condiments and Spices,130,3.52,1.93,0.7,4.66,0.17,0.228,0.037
G010,Curry leaves,Murraya koenigii,A. Narasingha paat; B. Karhi-pat; E. Sweet Neem leaves; G. Kadi umdo; H. Gandhela ; Kan. Karibevu; Kash. Curry patta; Kh. Sla Kori; Mal. Kariveppilai; M. Curry Pata; Mar. Gandhela; N. Kary patta; O. Bhursanga Patra; P. Kadhi patta; S. Girinimba; Tam. Kariveppilai; Tel. Karivepaku; U. Kadi ka patta.,Condiments and Spices,266,7.41,4.51,1.06,16.83,0.6,0.267,0.01866
G011,"Garlic, big cloves",Allium sativum,A. Nohoru; B. Rashun; G. Lasan; H. Lehsan; Kan. Bellulli; Kash. Ruhan; Kh. Rynsun heh/ Rynsun dkhar; Mal. Vellulli; M. Chanam; Mar. Lasoon; N. Lasun; O. Rasuna; P. Lasan; S. Lashoonam; Tam. Poondu; Tel. Vellulli; U. Laisan.,Condiments and Spices,518,6.92,21.93,0.16,5.22,5.97,0.03352,0.00942
G012,"Garlic, small cloves",Allium sativum,A. Nohoru; B. Rashun; G. Lasan; H. Lehsan; Kan. Bellulli; Kash. Ruhan; Kh. Rynsun rit; Mal. Vellulli; M. Chanam; Mar. Lasoon; N. Lasun; O. Rasuna; P. Lasan; S. Lashoonam; Tam. Poondu; Tel. Vellulli; U. Laisan.,Condiments and Spices,514,6.75,21.84,0.14,5.47,4.84,0.03263,0.01056
G013,"Garlic, single clove, Kashmir",Allium sativum,A. Nohoru; B. Ek koya Rashun; G. Lasan; H. Lehsan; Kan. Bellulli; Kash. Ruhan; Kh. Rynsun; Mal. Vellulli; M. Chanam; Mar. Lasoon; N. Lasun; O. Rasuna; P. Lasan; S. Lashoonam; Tam. Ottrai poondu; Tel. Vellulli; U. Laisan.,Condiments and Spices,523,6.12,23.46,0.16,4.01,3.73,0.03476,0.00887
G014,"Ginger, fresh",Zinziber officinale,A. Ada kesa; B. Ada; G. Adu; H. Adrak ; Kan. Shunti; Kash. Adrak; Kh. Sying bah; Mal. Inji; M. Sing; Mar. Ale; N. Aduwa; O. Ada; P. Adrak; S. Aadrak; Tam. Inji; Tel. Allam; U. Adrak.,Condiments and Spices,230,2.22,8.97,0.85,5.36,1.31,0.231,0.01003
G015,Mango ginger,Curcuma amada,A. Aam ada; B. Amada; G. Amba Hardar; H. Aam adhrak; Kan. Mavina hasi sunthi; Kash. Adrak; Kh. Sying makhir; Mal. Mangainji; Mar. Amba haldi; P. Aam adrak; Tam. Mainji; Tel. Mamidiallam; U. Aam adrak.,Condiments and Spices,177,1.45,6.98,0.7,4.74,2.42,0.177,0.00551
G016,Mint leaves,Mentha spicata,A. Podina; B. Pudina; E. Mentha; G. Phudino; H. Pudina; Kan. Pudina; Kash. Pudinth; Kh. Pudina; Mal. Pudina; M. Nungsihidak; Mar. Pudina; N. Baabari; O. Pudina Patra; P. Pudina; Tam. Pudina; Tel. Pudina; U. Pudina.,Condiments and Spices,155,4.66,2.39,0.65,5.89,0.08,0.125,0.01687
G017,"Onion, big",Allium cepa,"A. Piyanj; B. Peyaj; E. Bulb onion, Common onion; G. Kando; H. Pyaz; Kan. Eerulli; Kash. Gandha; Kh. Piat; Mal. Ulli; M. Tilhou; Mar. Kanda; N. Pyaj; O. Piaja; P. Gandhe; S. Palaanduh; Tam. Vengayam; Tel. Neerulli/Ullipaya; U. Pyaaz.",Condiments and Spices,201,1.5,9.56,0.24,2.45,5.88,0.06081,0.0055
G018,"Onion, small",Allium cepa,"A. Xoru Piyanj; B. Gundhun; E. Bulb onion, Common onion; G. Dungri (nani); H. Pyaaz Kali; Kan. Chikk Eerulli; Kash. Praan; Kh. Piat rit; Mal. Cheriya Ulli; M. Tilhou ; Mar. Kanda; N. Chayapi; P. Gandhe; Tam. Chinna vengayam; Tel. Chinna ullipaya; U. Pyaaz.",Condiments and Spices,237,1.82,11.58,0.16,1.16,5.62,0.04101,0.00406
G019,Asafoetida,Ferula assa-foetida,"A. Hing; B. Hing; E. Food of the Gods, Jowani Badian, Hengu, Ingu, Kayam, Ting; G. Hing; H. Hing ; Kan. Hingu; Kash. Yangu; Kh. U hing; Mal. Perungayam; M. Hing; Mar. Hing; N. Hing; O. Hingu; P. Hing; S. Badhika; Tam. Perugayam; Tel. Inguva; U. Hing.",Condiments and Spices,1387,6.34,71.95,1.26,5.13,0.93,0.242,0.01604
G020,"Cardamom, green",Elettaria cardamomum,A. Ilasi; B. Elach; E. True cardamom; G. Alechi; H. Elaychi; Kan. Yelakki; Kash. Aa’l budu’a aa’ l; Kh. Elaishi; Mal. Elakkai; M. Elaichi; Mar. Veldoda; N. Alaichi; O. Alaichi; P. Shoti elaychi; S. Ela; Tam. Elakkai; Tel. Elakkai; U. Elaichi.,Condiments and Spices,1067,8.1,47.76,2.6,23.1,4.28,0.624,0.01551
G021,"Cardamom, black",Elettaria cardamomum,"B. Boro elach; E. Hill cardamom, Bengal cardamom, Greater cardamom, Indian cardamom, Nepal cardamom, Winged cardamom, Brown cardamom; G. Moti alechi; A. Ilasi; H. Badi elaychi; Kan. Yelakki; Kash. Aa’l budu’a aa’ l; Kh. Elaichi; Mal. Elathari; M. Elaichi; Mar. Veldoda; N. Alaichi; O. Alaichi; P. Baddi elaychi; S. Ela; Tam. Elakkai; Tel. Elakkai; U. Elaichi.",Condiments and Spices,1132,6.69,52.53,2.8,23.46,2.3,0.493,0.01625
G022,"Chillies, red",Capsicum annum,A. Sukan jolokia; B. Shuckhuo Lonka; E. Red chilli pepper; G. Lal marcha (sukha); H. Mirchi; Kan. Ona Menasinakayi; Kh. Sohmynken trykhong; Mal. Mulaku; M. Morok Akangba; Mar. Mulaku; N. Rato Khursani; O. Lanka; P. Lal mircha; Tam. Varamilagai; Tel. Mirapakaya; U. Lal mirchi.,Condiments and Spices,990,12.69,29.46,6.4,31.15,4.7,1.141,0.01945
G023,Cloves,Syzygium aromaticum,A. Long; B. Lobong; G. Lavang; H. Lavang; Kan. Lavanga; Kash. Ruang; Kh. U long; Mal. Krambu; M. Long; Mar. Lavang; N. Luwang; O. Labang; P. Long; S. Lavanga; Tam. Krambu; Tel. Lavangu; U. Long.,Condiments and Spices,781,5.86,18.73,8.41,34.52,2.1,2.679,0.183
G024,Coriander seeds,Coriandrum sativum,"A. Dhoniya; B. Dhone; E. Cilantro seeds, Chinese parsley seeds; G. Sukha dhana; H. Dhania; Kan. Kothambari; Kash. Daaniwal; Kh. Symbai dhania; Mal. Kothambalari; M. Fadhighom Maru; Mar. Dhane; N. Dhania; O. Dhania; P. Dhania; S. Dhanyaka; Tam. Kothamalli vidhai; Tel. Dhaniyalu; U. Dhaniya.",Condiments and Spices,1125,10.66,12.98,17.47,44.81,2.38,0.952,0.03441
G025,Cumin seeds,Cuminum cyminum,A. Jeera; B. Jire; G. Jiru; H. Jira; Kan. Jeerage; Kash. Zyur; Kh. U jeera; Mal. Jeerakam; M. Jeera; Mar. Jira; N. Jeera; O. Jira; P. Jira; S. Jiraka; Tam. Jeerakam; Tel. Jeelakarra; U. Jira.,Condiments and Spices,1274,13.91,22.62,16.64,30.35,1.38,0.619,0.125
G026,Fenugreek seeds,Trigonella foenum graecum,A. Methi; B. Methi; G. Methi dana ; H. Methi; Kan. Menthe; Kash. Meeth; Kh. Symbai methi; Mal. Uluva; M. Methi; Mar. Methi; N. Methi; O. Methi; P. Methi; S. Methe; Tam. Venthayam; Tel. Menthulu; U. Methi.,Condiments and Spices,983,25.41,10.57,5.72,47.55,0.55,0.77,0.0402
G027,Mace,Myristica fragrans,B. Jayitri; E. Nutmeg; G. Javantri; H. Avithri; Kan. Jalwatur; Kash. Jalwatur; Mal. Jathipatri; Mar. Jaypatri; O. Jayitri; P. Jaipatri; Tam. Jathipatri; Tel. Japathri; U. Javantri.,Condiments and Spices,1488,6.24,26.51,24.41,20.31,0.85,9.304,0.02717
G028,Nutmeg,Myristica fragrans,"A. Jaiphal; B. Jayphal; E. Fragrant nutmeg, True nutmeg; G. Jayaphad; H. Jaiphal; Kan. Jayikayi mara; Kash. Zaaphal; Mal. Jathikai; Mar. Jayaphala; N. Jaiphal; O. Jaiphal; P. Jaiphal; S. Jatiphala; Tam. Jathikai; Tel. Jajikaya; U. Jaifal.",Condiments and Spices,1940,6.3,27.64,36.52,11.99,1.08,3.359,0.01431
G029,Omum,Trachyspermum ammi,"A. Ajwain; B. Joan; E. Ajwain, Ajowan, Ajowan caraway, Ajman, Bishop`s weed, Carom; G. Ajmo; H. Ajwan; Kan. Oma; Kash. Jawind; Kh. Paspron; Mal. Ayamothakam; Mar. Onva; O. Juani; P. Ajwain; S. Ajamoda; Tam. Omum; Tel. Vamu; U. Ajwain.",Condiments and Spices,1495,15.89,24.53,21.11,20.58,2.76,1.112,0.02858
G030,Pippali,Piper longum,"B. Pipul; E. Long pepper, Indian long pepper; G. Khus khus; H. Pipli; Kan. Kandan Lippili; Kh. Sohmarit khlaw; Mal. Tippali; Mar. Pimpli; O. Sarupippali; P.  Javantri; S. Pippali; Tam. Tippili; Tel. Pippallu; U. Pipul.",Condiments and Spices,906,10.53,35.7,2.27,34.14,2.75,0.602,0.01628
G031,"Pepper, black",Piper nigrum,"A. Kola jaluk; B. Golmarichi; E. Peppercorn; G. Mari; H. Kalimirchi; Kan. Kari menasu; Kash. Marutus; Kh. Soh marit; Mal. Kurumlaku; Mar. Mire; N. Marich; O. Golomarcho; P. Kalimirchi; S. Marich ushna, hapusha; Tam. Milagu; Tel. Mirayalu; U. Kaali Mirch.",Condiments and Spices,910,10.12,36.22,2.74,33.16,0.32,0.654,0.02408
G032,Poppy seeds,Papaver somniferum,A. Afoo guti; B. Posta; G. Aphina; H. Postdana; Kan. Afim; Kash. Khaskhash; Mal. Afiam; Mar. Khaskhas; N. Khus Khus; O. Postak; P. Khas Khas; S. Khasa; Tam. Khasakhasa; Tel. Gasagasalu; U. Khash Khash.,Condiments and Spices,1768,20.31,12.37,30.38,26.68,1.85,2.074,0.02535
G033,Turmeric powder,Curcuma domestica,A. Halodhi; B. Holud; G. Haddar; H. Haldi; Kan. Anashina; Kash. Lader; Kh. Shynrai; Mal. Manjal; M. Yaingang; Mar. Halad; N. Besar; O. Haladi; P. Haldi; S. Haladi; Tam. Manjal; Tel. Pasupu; U. Haldi.,Condiments and Spices,1174,7.66,49.22,5.03,21.38,1.23,1.634,0.02441
H001,Almond,Prunus amygdalus,A. China badam; B. Badam; G. Badam; H. Badam; Kan. Badam; Kash. Badam; Kh. Almon; Mal. Vatam kottai; M. Badam; Mar. Badam; N. Kagji Badam; O. Badam; P. Badam; Tam. Badam paruppu; Tel. Badam Pappu; U. Badam.,Nuts and Oil Seeds,2549,18.41,3.04,58.49,13.06,2.23,4.358,0.0015
H002,"Arecanut, dried, brown",Areca catechu,"A.Sufari; B. Supari; E. Areca nut, Betel nut; G. Sopari; H. Supari; Kan. Adike; Kash. Supari; Kh. Kwai tyrkhong; Mal. Adakka; M. Kwa Maru; Mar. Supari; N. Supari; O. Gua; P. Supari; S. Puuga; Tam. Kottai paakku; Tel. Vakka; U. Supari.",Nuts and Oil Seeds,1467,5.78,70.42,4.35,11.44,1.76,2.605,0.01206
H003,"Arecanut, dried, red color",Areca catechu,"A. Sufari; B. Supari; E. Areca nut, Betel nut; G. Sopari; H. Supari; Kan. Adike; Kash. Supaari; Kh. Kwai supari; Mal. Adakka; M. Kwa Maru; Mar. Supari; N. Supari; O. Gua; P. Supari; S. Puuga; Tam. Paakku; Tel. Vakka; U. Supari.",Nuts and Oil Seeds,1477,6.46,70.27,4.46,11.11,1.79,1.674,0.01713
H004,"Arecanut, fresh",Areca catechu,"A. Kesa tamul; B. Supari; E. Areca nut, Betel nut; G. Sopari; H. Supari; Kan. Adike; Kash. Supaari; Kh. Kwai im; Mal. Adakka; M. Kwa Maru; Mar. Supari; N. Supari; O. Gua; P. Supari; S. Puuga; Tam. Paakku; Tel. Vakka; U. Supari.",Nuts and Oil Seeds,1024,2.73,45,5.51,7.63,4.72,3.389,0.00553
H005,Cashew nut,Anacardium occidentale,A. Kaju badam; B. Hijli Badam; G. Kaju; H. Kaju; Kan. Geru beeja; Kash. Kaju; Kh. Soh kashu; Mal. Kasu andi; M. Kaju; Mar. Kaju; N. Kaju; O. Lanka ambu; P. Kaju; Tam. Mundiri paruppu; Tel. Jeedi pappu; U. Kaju.,Nuts and Oil Seeds,2438,18.78,25.46,45.2,3.86,3.11,7.816,0.009
H006,"Coconut, kernel, dry",Cocos nucifera,A. Dab narikol; B. Narkel; G. Kopra ni kachli; H. Nariyal; Kan. Thengini kai; Kash. Narjil; Kh. Snep kor trykhong; Mal. Thenga; M. Yubi Akangba; Mar. Narel; O. Nadia; P. Gola; Tam. Kopparai; Tel. Endu Kobbari; U. Khopra.,Nuts and Oil Seeds,2611,7.27,8.01,63.26,15.88,6.93,43.138,0.01668
